login	uid	docid	jud	cjud
assessor158	158	0	0	0
assessor238	238	0	0	0
assessor488	488	0	0	0
assessor136	136	0	0	0
assessor300	300	0	0	0
assessor123	123	1	1	1
assessor491	491	1	0	1
assessor409	409	1	1	1
assessor396	396	1	1	1
assessor295	295	1	1	1
assessor37	37	2	0	0
assessor291	291	2	0	0
assessor399	399	2	0	0
assessor316	316	2	0	0
assessor215	215	2	1	0
assessor37	37	3	0	0
assessor428	428	3	0	0
assessor9	9	3	1	0
assessor479	479	3	0	0
assessor273	273	3	0	0
assessor132	132	4	0	0
assessor222	222	4	0	0
assessor149	149	4	1	0
assessor320	320	4	0	0
assessor293	293	4	0	0
assessor578	578	5	0	0
assessor287	287	5	0	0
assessor92	92	5	0	0
assessor61	61	5	0	0
assessor363	363	5	0	0
assessor226	226	6	0	0
assessor102	102	6	0	0
assessor36	36	6	0	0
assessor499	499	6	0	0
assessor89	89	6	0	0
assessor379	379	7	0	0
assessor167	167	7	1	0
assessor200	200	7	0	0
assessor502	502	7	0	0
assessor493	493	7	0	0
assessor37	37	8	0	0
assessor584	584	8	0	0
assessor426	426	8	1	0
assessor382	382	8	0	0
assessor563	563	8	0	0
assessor479	479	9	0	0
assessor348	348	9	0	0
assessor221	221	9	1	0
assessor444	444	9	0	0
assessor406	406	9	1	0
assessor546	546	10	0	0
assessor246	246	10	0	0
assessor492	492	10	0	0
assessor423	423	10	0	0
assessor94	94	10	0	0
assessor401	401	11	0	0
assessor553	553	11	0	0
assessor0	0	11	0	0
assessor16	16	11	0	0
assessor125	125	11	0	0
assessor524	524	12	0	0
assessor478	478	12	0	0
assessor445	445	12	1	0
assessor568	568	12	0	0
assessor419	419	12	0	0
assessor156	156	13	0	0
assessor269	269	13	0	0
assessor361	361	13	0	0
assessor106	106	13	0	0
assessor395	395	13	0	0
assessor460	460	14	0	0
assessor75	75	14	0	0
assessor497	497	14	1	0
assessor486	486	14	0	0
assessor507	507	14	0	0
assessor594	594	15	0	0
assessor299	299	15	0	0
assessor500	500	15	0	0
assessor385	385	15	0	0
assessor495	495	15	1	0
assessor596	596	16	0	0
assessor268	268	16	0	0
assessor159	159	16	0	0
assessor164	164	16	0	0
assessor269	269	16	0	0
assessor187	187	17	0	0
assessor453	453	17	0	0
assessor154	154	17	0	0
assessor320	320	17	0	0
assessor404	404	17	0	0
assessor5	5	18	0	0
assessor532	532	18	0	0
assessor455	455	18	1	0
assessor518	518	18	0	0
assessor553	553	18	0	0
assessor379	379	19	1	0
assessor51	51	19	0	0
assessor166	166	19	0	0
assessor152	152	19	0	0
assessor512	512	19	0	0
assessor342	342	20	0	0
assessor421	421	20	1	0
assessor166	166	20	1	0
assessor537	537	20	0	0
assessor226	226	20	0	0
assessor386	386	21	0	0
assessor509	509	21	0	0
assessor54	54	21	0	0
assessor373	373	21	1	0
assessor274	274	21	0	0
assessor176	176	22	0	0
assessor327	327	22	0	0
assessor379	379	22	0	0
assessor227	227	22	0	0
assessor417	417	22	0	0
assessor192	192	23	1	0
assessor395	395	23	0	0
assessor560	560	23	1	0
assessor593	593	23	0	0
assessor421	421	23	0	0
assessor285	285	24	0	0
assessor61	61	24	1	0
assessor33	33	24	0	0
assessor455	455	24	0	0
assessor579	579	24	0	0
assessor339	339	25	0	0
assessor309	309	25	0	0
assessor217	217	25	0	0
assessor540	540	25	0	0
assessor94	94	25	0	0
assessor275	275	26	0	0
assessor448	448	26	0	0
assessor315	315	26	0	0
assessor476	476	26	0	0
assessor497	497	26	0	0
assessor150	150	27	0	0
assessor60	60	27	0	0
assessor505	505	27	0	0
assessor263	263	27	0	0
assessor272	272	27	0	0
assessor231	231	28	0	0
assessor450	450	28	0	0
assessor506	506	28	0	0
assessor125	125	28	0	0
assessor95	95	28	0	0
assessor99	99	29	0	0
assessor484	484	29	1	0
assessor494	494	29	0	0
assessor539	539	29	0	0
assessor128	128	29	0	0
assessor525	525	30	0	0
assessor296	296	30	0	0
assessor470	470	30	1	0
assessor324	324	30	1	0
assessor574	574	30	0	0
assessor156	156	31	1	0
assessor353	353	31	0	0
assessor186	186	31	0	0
assessor407	407	31	0	0
assessor542	542	31	0	0
assessor157	157	32	1	0
assessor479	479	32	0	0
assessor389	389	32	0	0
assessor460	460	32	0	0
assessor408	408	32	1	0
assessor128	128	33	0	0
assessor108	108	33	0	0
assessor359	359	33	1	0
assessor393	393	33	0	0
assessor427	427	33	0	0
assessor186	186	34	0	0
assessor156	156	34	0	0
assessor346	346	34	0	0
assessor522	522	34	0	0
assessor543	543	34	0	0
assessor26	26	35	0	0
assessor154	154	35	0	0
assessor75	75	35	0	0
assessor423	423	35	1	0
assessor229	229	35	0	0
assessor86	86	36	0	0
assessor549	549	36	0	0
assessor400	400	36	0	0
assessor488	488	36	0	0
assessor247	247	36	0	0
assessor474	474	37	0	0
assessor290	290	37	0	0
assessor236	236	37	0	0
assessor490	490	37	1	0
assessor60	60	37	0	0
assessor222	222	38	0	0
assessor391	391	38	0	0
assessor204	204	38	0	0
assessor225	225	38	0	0
assessor500	500	38	0	0
assessor475	475	39	0	0
assessor251	251	39	0	0
assessor34	34	39	0	0
assessor33	33	39	0	0
assessor183	183	39	0	0
assessor190	190	40	0	0
assessor281	281	40	0	0
assessor217	217	40	0	0
assessor193	193	40	0	0
assessor182	182	40	1	0
assessor440	440	41	0	0
assessor114	114	41	0	0
assessor251	251	41	0	0
assessor526	526	41	0	0
assessor128	128	41	0	0
assessor41	41	42	0	0
assessor324	324	42	0	0
assessor387	387	42	0	0
assessor29	29	42	1	0
assessor8	8	42	0	0
assessor198	198	43	0	0
assessor87	87	43	0	0
assessor331	331	43	0	0
assessor528	528	43	0	0
assessor306	306	43	0	0
assessor533	533	44	0	0
assessor229	229	44	1	0
assessor449	449	44	0	0
assessor268	268	44	0	0
assessor95	95	44	1	0
assessor33	33	45	0	0
assessor298	298	45	0	0
assessor48	48	45	0	0
assessor465	465	45	1	0
assessor388	388	45	0	0
assessor556	556	46	0	0
assessor492	492	46	0	0
assessor15	15	46	0	0
assessor278	278	46	0	0
assessor444	444	46	1	0
assessor296	296	47	0	0
assessor508	508	47	0	0
assessor444	444	47	0	0
assessor443	443	47	0	0
assessor527	527	47	0	0
assessor419	419	48	0	0
assessor345	345	48	1	0
assessor37	37	48	0	0
assessor154	154	48	0	0
assessor490	490	48	0	0
assessor256	256	49	0	0
assessor487	487	49	0	0
assessor220	220	49	0	0
assessor157	157	49	0	0
assessor14	14	49	0	0
assessor266	266	50	0	0
assessor41	41	50	0	0
assessor163	163	50	0	0
assessor586	586	50	0	0
assessor290	290	50	0	0
assessor380	380	51	0	0
assessor253	253	51	0	0
assessor598	598	51	0	0
assessor378	378	51	0	0
assessor447	447	51	0	0
assessor303	303	52	0	0
assessor34	34	52	0	0
assessor424	424	52	0	0
assessor186	186	52	0	0
assessor240	240	52	0	0
assessor595	595	53	1	0
assessor114	114	53	0	0
assessor140	140	53	1	0
assessor293	293	53	0	0
assessor385	385	53	0	0
assessor113	113	54	0	0
assessor376	376	54	0	0
assessor201	201	54	0	0
assessor236	236	54	0	0
assessor487	487	54	0	0
assessor195	195	55	1	0
assessor525	525	55	0	0
assessor531	531	55	0	0
assessor248	248	55	0	0
assessor232	232	55	0	0
assessor236	236	56	1	0
assessor439	439	56	0	0
assessor400	400	56	0	0
assessor364	364	56	0	0
assessor164	164	56	0	0
assessor100	100	57	0	0
assessor186	186	57	1	0
assessor98	98	57	0	0
assessor565	565	57	0	0
assessor331	331	57	0	0
assessor169	169	58	0	0
assessor4	4	58	0	0
assessor99	99	58	0	0
assessor444	444	58	0	0
assessor493	493	58	0	0
assessor44	44	59	0	0
assessor436	436	59	0	0
assessor393	393	59	1	0
assessor583	583	59	0	0
assessor416	416	59	0	0
assessor120	120	60	0	0
assessor474	474	60	0	0
assessor327	327	60	0	0
assessor149	149	60	0	0
assessor470	470	60	0	0
assessor177	177	61	0	0
assessor305	305	61	0	0
assessor111	111	61	0	0
assessor504	504	61	0	0
assessor133	133	61	0	0
assessor140	140	62	0	0
assessor487	487	62	0	0
assessor455	455	62	0	0
assessor334	334	62	0	0
assessor494	494	62	0	0
assessor395	395	63	0	0
assessor381	381	63	1	0
assessor220	220	63	1	0
assessor190	190	63	0	0
assessor547	547	63	0	0
assessor481	481	64	0	0
assessor69	69	64	1	0
assessor367	367	64	0	0
assessor168	168	64	0	0
assessor136	136	64	0	0
assessor58	58	65	0	0
assessor153	153	65	0	0
assessor429	429	65	0	0
assessor241	241	65	0	0
assessor465	465	65	0	0
assessor144	144	66	1	1
assessor84	84	66	1	1
assessor370	370	66	1	1
assessor151	151	66	1	1
assessor475	475	66	1	1
assessor547	547	67	0	0
assessor153	153	67	0	0
assessor482	482	67	0	0
assessor195	195	67	1	0
assessor162	162	67	0	0
assessor200	200	68	0	0
assessor597	597	68	0	0
assessor312	312	68	0	0
assessor412	412	68	0	0
assessor177	177	68	0	0
assessor273	273	69	0	0
assessor289	289	69	0	0
assessor324	324	69	0	0
assessor582	582	69	0	0
assessor168	168	69	0	0
assessor512	512	70	1	1
assessor398	398	70	0	1
assessor583	583	70	1	1
assessor287	287	70	1	1
assessor71	71	70	1	1
assessor31	31	71	0	0
assessor104	104	71	0	0
assessor207	207	71	0	0
assessor351	351	71	0	0
assessor349	349	71	0	0
assessor266	266	72	0	0
assessor523	523	72	0	0
assessor268	268	72	0	0
assessor127	127	72	0	0
assessor459	459	72	0	0
assessor10	10	73	0	0
assessor535	535	73	0	0
assessor158	158	73	1	0
assessor533	533	73	0	0
assessor24	24	73	0	0
